RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.043;20002;2233;20000;2233;2;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.04;20002;2106;20000;2106;2;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.04;20002;2232;20000;2232;2;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
