RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.025;10100;5;10000;5;100;0;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.027;10000;22;10000;22;0;0;SAMPLES SAMPLES_AFTER
