RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.024;10000;1881;10000;1431;0;450;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.03;10000;1671;10000;1222;0;449;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.059;20000;3241;20000;2800;0;441;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.049;20000;3007;20000;2547;0;460;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
0.065;30000;4243;30000;3779;0;464;CORRECT SAMPLES_BEFORE SAMPLES_AFTER
