RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.024;10000;489;10000;489;0;0;CORRECT SAMPLES_AFTER
0.232;100000;5607;100000;5607;0;0;CORRECT SAMPLES_AFTER
