RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.077;10000;1792;10000;1792;0;0;CORRECT SAMPLES_AFTER
0.201;100000;17449;100000;17449;0;0;CORRECT SAMPLES_AFTER
0.005;100000;0;100000;0;0;0;SAMPLES SAMPLES_AFTER
0.026;10000;1691;10000;1691;0;0;CORRECT SAMPLES_AFTER
0.196;100000;16333;100000;16333;0;0;CORRECT SAMPLES_AFTER
