RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.209;100000;32;100000;32;0;0;CORRECT SAMPLES_AFTER
0.236;100000;11093;100000;11093;0;0;CORRECT SAMPLES_AFTER
2.598;1000000;131772;1000000;131772;0;0;CORRECT SAMPLES_AFTER
