RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.032;10000;10;10000;10;0;0;CORRECT SAMPLES_AFTER
0.028;10000;654;10000;654;0;0;CORRECT SAMPLES_AFTER
0.027;10000;891;10000;891;0;0;CORRECT SAMPLES_AFTER
0.026;10000;1371;10000;1371;0;0;CORRECT SAMPLES_AFTER
0.027;10000;4;10000;4;0;0;CORRECT SAMPLES_AFTER
0.026;10000;3;10000;3;0;0;CORRECT SAMPLES_AFTER
