RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.002;10;11;10;0;0;11;SAMPLES SAMPLES_BEFORE SAMPLES_AFTER
0.002;10;11;10;0;0;11;SAMPLES SAMPLES_BEFORE SAMPLES_AFTER
0.003;10;0;10;0;0;0;SAMPLES SAMPLES_AFTER
0.002;10;11;10;0;0;11;SAMPLES SAMPLES_BEFORE SAMPLES_AFTER
0.003;10;0;10;0;0;0;SAMPLES SAMPLES_AFTER
