RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.002;10000;0;10000;0;0;0;SAMPLES SAMPLES_AFTER
0.09;10000;5996;10000;5996;0;0;SAMPLES SAMPLES_AFTER
0.084;10000;7616;10000;7616;0;0;SAMPLES SAMPLES_AFTER
0.831;100000;70009;100000;70009;0;0;SAMPLES SAMPLES_AFTER
0.235;20000;14259;20000;14259;0;0;SAMPLES SAMPLES_AFTER
