RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.082;10000;5267;10000;4501;0;766;SAMPLES SAMPLES_BEFORE SAMPLES_AFTER
0.089;10000;4724;10000;4724;0;0;SAMPLES SAMPLES_AFTER
0.866;100000;49929;100000;47552;0;2377;SAMPLES SAMPLES_BEFORE SAMPLES_AFTER
