RunTime;Expected samples;Samples;Expected Samples After;Samples After;Expected Samples Before;Samples Before;STATUS
0.082;10000;7322;10000;7322;0;0;SAMPLES SAMPLES_AFTER
0.091;10000;7605;10000;7605;0;0;SAMPLES SAMPLES_AFTER
0.085;10000;8514;10000;8514;0;0;SAMPLES SAMPLES_AFTER
0.18;20000;14271;20000;14271;0;0;SAMPLES SAMPLES_AFTER
0.818;100000;70054;100000;70054;0;0;SAMPLES SAMPLES_AFTER
0.005;100000;134;100000;134;0;0;SAMPLES SAMPLES_AFTER
0.789;100000;73571;100000;73571;0;0;SAMPLES SAMPLES_AFTER
